region,District,TownType,Town,StreetType,Street,Address
Саратовская область,Пугачевский,п,Заволжский,ул,Молодежная,Саратовская область Пугачевский п Заволжский ул Молодежная
Саратовская область,Пугачевский,п,Заволжский,ул,Набережная,Саратовская область Пугачевский п Заволжский ул Набережная
Саратовская область,Пугачевский,п,Заволжский,ул,Почтовая,Саратовская область Пугачевский п Заволжский ул Почтовая
Саратовская область,Пугачевский,п,Заволжский,ул,Школьная,Саратовская область Пугачевский п Заволжский ул Школьная
Саратовская область,Пугачевский,ст,Иргиз,ул,Железнодорожная,Саратовская область Пугачевский ст Иргиз ул Железнодорожная
Саратовская область,Пугачевский,г,Пугачев,ул,Заводская 1-я,Саратовская область Пугачевский г Пугачев ул Заводская 1-я
Саратовская область,Пугачевский,г,Пугачев,ул,40 лет Октября,Саратовская область Пугачевский г Пугачев ул 40 лет Октября
Саратовская область,Пугачевский,г,Пугачев,ул,53 Дивизии,Саратовская область Пугачевский г Пугачев ул 53 Дивизии
Саратовская область,Пугачевский,г,Пугачев,ул,Бубенца,Саратовская область Пугачевский г Пугачев ул Бубенца
Саратовская область,Пугачевский,г,Пугачев,ул,Вокзальная,Саратовская область Пугачевский г Пугачев ул Вокзальная
Саратовская область,Пугачевский,г,Пугачев,ул,Ермощенко,Саратовская область Пугачевский г Пугачев ул Ермощенко
Саратовская область,Пугачевский,г,Пугачев,ул,Железнодорожная,Саратовская область Пугачевский г Пугачев ул Железнодорожная
Саратовская область,Пугачевский,г,Пугачев,ул,Интернациональная,Саратовская область Пугачевский г Пугачев ул Интернациональная
Саратовская область,Пугачевский,г,Пугачев,пер,Камышинский,Саратовская область Пугачевский г Пугачев пер Камышинский
Саратовская область,Пугачевский,г,Пугачев,тер,Карьер МВД,Саратовская область Пугачевский г Пугачев тер Карьер МВД
Саратовская область,Пугачевский,г,Пугачев,ул,Кутякова,Саратовская область Пугачевский г Пугачев ул Кутякова
Саратовская область,Пугачевский,г,Пугачев,ул,Л. Толстого,Саратовская область Пугачевский г Пугачев ул Л. Толстого
Саратовская область,Пугачевский,г,Пугачев,ул,Лесозащитная,Саратовская область Пугачевский г Пугачев ул Лесозащитная
Саратовская область,Пугачевский,г,Пугачев,ул,М.Горького,Саратовская область Пугачевский г Пугачев ул М.Горького
Саратовская область,Пугачевский,г,Пугачев,ул,Набережная,Саратовская область Пугачевский г Пугачев ул Набережная
Саратовская область,Пугачевский,г,Пугачев,тер,Нефтебаза,Саратовская область Пугачевский г Пугачев тер Нефтебаза
Саратовская область,Пугачевский,г,Пугачев,п,Нефтяников,Саратовская область Пугачевский г Пугачев п Нефтяников
Саратовская область,Пугачевский,г,Пугачев,ул,Октябрьская,Саратовская область Пугачевский г Пугачев ул Октябрьская
Саратовская область,Пугачевский,г,Пугачев,ул,Оренбургская,Саратовская область Пугачевский г Пугачев ул Оренбургская
Саратовская область,Пугачевский,г,Пугачев,мкр,Первый,Саратовская область Пугачевский г Пугачев мкр Первый
Саратовская область,Пугачевский,г,Пугачев,ул,Пионерская,Саратовская область Пугачевский г Пугачев ул Пионерская
Саратовская область,Пугачевский,г,Пугачев,пр-кт,Революционный,Саратовская область Пугачевский г Пугачев пр-кт Революционный
Саратовская область,Пугачевский,г,Пугачев,ул,Сеницы,Саратовская область Пугачевский г Пугачев ул Сеницы
Саратовская область,Пугачевский,г,Пугачев,ул,Советская,Саратовская область Пугачевский г Пугачев ул Советская
Саратовская область,Пугачевский,г,Пугачев,ул,Строителей,Саратовская область Пугачевский г Пугачев ул Строителей
Саратовская область,Пугачевский,г,Пугачев,ул,Урицкого,Саратовская область Пугачевский г Пугачев ул Урицкого
Саратовская область,Пугачевский,г,Пугачев,ул,Чапаевская,Саратовская область Пугачевский г Пугачев ул Чапаевская
Саратовская область,Пугачевский,п,Пугачевский,ул,Комарова,Саратовская область Пугачевский п Пугачевский ул Комарова
Саратовская область,Пугачевский,п,Пугачевский,ул,Рабочая,Саратовская область Пугачевский п Пугачевский ул Рабочая
Саратовская область,Гагаринский,г,Саратов,ул,Вокзальная,Саратовская область NULL г Саратов ул Вокзальная
Саратовская область,Гагаринский,г,Саратов,ул,Шелковичная,Саратовская область NULL г Саратов ул Шелковичная
Саратовская область,Озинский,п,Озинки,ул,8 Марта,Саратовская область Озинский п Озинки ул 8 Марта
Саратовская область,Озинский,п,Озинки,ул,Александрова,Саратовская область Озинский п Озинки ул Александрова
Саратовская область,Озинский,п,Озинки,пл,Большевистская,Саратовская область Озинский п Озинки пл Большевистская
Саратовская область,Озинский,п,Озинки,ул,Комарова,Саратовская область Озинский п Озинки ул Комарова
Саратовская область,Озинский,п,Озинки,ул,Кооперативная,Саратовская область Озинский п Озинки ул Кооперативная
Саратовская область,Озинский,п,Озинки,ул,Лесная,Саратовская область Озинский п Озинки ул Лесная
Саратовская область,Озинский,п,Озинки,ул,Линдова,Саратовская область Озинский п Озинки ул Линдова
Саратовская область,Озинский,п,Озинки,пер,Мирный,Саратовская область Озинский п Озинки пер Мирный
Саратовская область,Озинский,п,Озинки,пер,Северный,Саратовская область Озинский п Озинки пер Северный
Саратовская область,Озинский,п,Озинки,ул,Советская,Саратовская область Озинский п Озинки ул Советская
Саратовская область,Озинский,п,Озинки,ул,Фрунзе,Саратовская область Озинский п Озинки ул Фрунзе
Саратовская область,Озинский,п,Озинки,ул,Чернышевского,Саратовская область Озинский п Озинки ул Чернышевского
Саратовская область,Озинский,п,Озинки,ул,Южная,Саратовская область Озинский п Озинки ул Южная
Саратовская область,Озинский,п,Сланцевый Рудник,ул,Б/Н,Саратовская область Озинский п Сланцевый Рудник ул Б/Н
Саратовская область,Гагаринский,г,Саратов,проезд,Чернышевского 1-й,Саратовская область NULL г Саратов проезд Чернышевского 1-й
Саратовская область,Гагаринский,г,Саратов,ул,Беговая,Саратовская область NULL г Саратов ул Беговая
Саратовская область,Гагаринский,г,Саратов,проезд,Беговой,Саратовская область NULL г Саратов проезд Беговой
Саратовская область,Гагаринский,г,Саратов,ул,Белоглинская,Саратовская область NULL г Саратов ул Белоглинская
Саратовская область,Гагаринский,г,Саратов,проезд,Вакуровский 4-й,Саратовская область NULL г Саратов проезд Вакуровский 4-й
Саратовская область,Гагаринский,г,Саратов,проезд,Волжский 4-й,Саратовская область NULL г Саратов проезд Волжский 4-й
Саратовская область,Гагаринский,г,Саратов,ул,Вяземская,Саратовская область NULL г Саратов ул Вяземская
Саратовская область,Гагаринский,г,Саратов,ул,Дегтярная 3-я,Саратовская область NULL г Саратов ул Дегтярная 3-я
Саратовская область,Гагаринский,г,Саратов,ул,Дома 8 Марта,Саратовская область NULL г Саратов ул Дома 8 Марта
Саратовская область,Гагаринский,г,Саратов,ул,Клиническая,Саратовская область NULL г Саратов ул Клиническая
Саратовская область,Гагаринский,г,Саратов,проезд,Литейный,Саратовская область NULL г Саратов проезд Литейный
Саратовская область,Гагаринский,г,Саратов,ул,Локомотивная,Саратовская область NULL г Саратов ул Локомотивная
Саратовская область,Гагаринский,г,Саратов,ул,Лысогорская,Саратовская область NULL г Саратов ул Лысогорская
Саратовская область,Гагаринский,г,Саратов,линия,"пос. Октябрьский, 3-я","Саратовская область NULL г Саратов линия пос. Октябрьский, 3-я"
Саратовская область,Гагаринский,г,Саратов,линия,"пос. Первомайский, 6-я","Саратовская область NULL г Саратов линия пос. Первомайский, 6-я"
Саратовская область,Гагаринский,г,Саратов,линия,"пос. Первомайский, 9-я","Саратовская область NULL г Саратов линия пос. Первомайский, 9-я"
Саратовская область,Гагаринский,г,Саратов,ул,Поперечная 2-я,Саратовская область NULL г Саратов ул Поперечная 2-я
Саратовская область,Гагаринский,г,Саратов,ул,Поперечная 3-я,Саратовская область NULL г Саратов ул Поперечная 3-я
Саратовская область,Гагаринский,г,Саратов,ул,Поперечная 4-я,Саратовская область NULL г Саратов ул Поперечная 4-я
Саратовская область,Гагаринский,г,Саратов,проезд,"пос. Первомайский, 1-й","Саратовская область NULL г Саратов проезд пос. Первомайский, 1-й"
Саратовская область,Гагаринский,г,Саратов,ул,Провиантская,Саратовская область NULL г Саратов ул Провиантская
Саратовская область,Гагаринский,г,Саратов,ул,Рабочая,Саратовская область NULL г Саратов ул Рабочая
Саратовская область,Гагаринский,г,Саратов,ул,Силикатная 2-я,Саратовская область NULL г Саратов ул Силикатная 2-я
Саратовская область,Гагаринский,г,Саратов,ул,Силикатная 3-я,Саратовская область NULL г Саратов ул Силикатная 3-я
Саратовская область,Гагаринский,г,Саратов,ул,Силикатная 4-я,Саратовская область NULL г Саратов ул Силикатная 4-я
Саратовская область,Гагаринский,г,Саратов,проезд,Силикатный 1-й,Саратовская область NULL г Саратов проезд Силикатный 1-й
Саратовская область,Гагаринский,г,Саратов,ул,Советская,Саратовская область NULL г Саратов ул Советская
Саратовская область,Гагаринский,г,Саратов,ул,Станционная,Саратовская область NULL г Саратов ул Станционная
Саратовская область,Гагаринский,г,Саратов,проезд,Станционный 3-й,Саратовская область NULL г Саратов проезд Станционный 3-й
Саратовская область,Гагаринский,г,Саратов,ул,Ст. Саратов-2,Саратовская область NULL г Саратов ул Ст. Саратов-2
Саратовская область,Гагаринский,г,Саратов,ул,Сызранская,Саратовская область NULL г Саратов ул Сызранская
Саратовская область,Красноармейский,п,Каменский,ул,Зеленая,Саратовская область Красноармейский п Каменский ул Зеленая
Саратовская область,Красноармейский,п,Каменский,ул,Комсомольская,Саратовская область Красноармейский п Каменский ул Комсомольская
Саратовская область,Красноармейский,п,Каменский,ул,Красноармейская,Саратовская область Красноармейский п Каменский ул Красноармейская
Саратовская область,Красноармейский,п,Каменский,ул,Советская,Саратовская область Красноармейский п Каменский ул Советская
Саратовская область,Красноармейский,ст,Карамыш,ул,Октябрьская,Саратовская область Красноармейский ст Карамыш ул Октябрьская
Саратовская область,Красноармейский,ст,Карамыш,ул,Первомайская,Саратовская область Красноармейский ст Карамыш ул Первомайская
Саратовская область,Красноармейский,г,Красноармейск,ул,1 Мая,Саратовская область Красноармейский г Красноармейск ул 1 Мая
Саратовская область,Красноармейский,г,Красноармейск,мкр,1-й,Саратовская область Красноармейский г Красноармейск мкр 1-й
Саратовская область,Красноармейский,г,Красноармейск,мкр.,5-й,Саратовская область Красноармейский г Красноармейск мкр. 5-й
Саратовская область,Красноармейский,г,Красноармейск,ул,Б.Хмельницкого,Саратовская область Красноармейский г Красноармейск ул Б.Хмельницкого
Саратовская область,Красноармейский,г,Красноармейск,ул,Больничная,Саратовская область Красноармейский г Красноармейск ул Больничная
Саратовская область,Красноармейский,г,Красноармейск,ул,Гоголя,Саратовская область Красноармейский г Красноармейск ул Гоголя
Саратовская область,Красноармейский,г,Красноармейск,ул,Заводская,Саратовская область Красноармейский г Красноармейск ул Заводская
Саратовская область,Красноармейский,г,Красноармейск,ул,Западная,Саратовская область Красноармейский г Красноармейск ул Западная
Саратовская область,Красноармейский,г,Красноармейск,ул,Карла Либкнехта,Саратовская область Красноармейский г Красноармейск ул Карла Либкнехта
Саратовская область,Красноармейский,г,Красноармейск,ул,Калинина,Саратовская область Красноармейский г Красноармейск ул Калинина
Саратовская область,Красноармейский,г,Красноармейск,ул,Карамышская,Саратовская область Красноармейский г Красноармейск ул Карамышская
Саратовская область,Красноармейский,г,Красноармейск,ул,Кирова,Саратовская область Красноармейский г Красноармейск ул Кирова
Саратовская область,Красноармейский,г,Красноармейск,ул,Комсомольская,Саратовская область Красноармейский г Красноармейск ул Комсомольская
Саратовская область,Красноармейский,г,Красноармейск,ул,Кондакова,Саратовская область Красноармейский г Красноармейск ул Кондакова
Саратовская область,Красноармейский,г,Красноармейск,ул,Красная Звезда,Саратовская область Красноармейский г Красноармейск ул Красная Звезда
Саратовская область,Красноармейский,г,Красноармейск,ул,Ленина,Саратовская область Красноармейский г Красноармейск ул Ленина
Саратовская область,Красноармейский,г,Красноармейск,ул,Луначарского,Саратовская область Красноармейский г Красноармейск ул Луначарского
Саратовская область,Красноармейский,г,Красноармейск,ул,Мичурина,Саратовская область Красноармейский г Красноармейск ул Мичурина
Саратовская область,Красноармейский,г,Красноармейск,ул,Молодежная,Саратовская область Красноармейский г Красноармейск ул Молодежная
Саратовская область,Красноармейский,г,Красноармейск,ул,Московская,Саратовская область Красноармейский г Красноармейск ул Московская
Саратовская область,Красноармейский,г,Красноармейск,ул,Почтовая,Саратовская область Красноармейский г Красноармейск ул Почтовая
Саратовская область,Красноармейский,г,Красноармейск,ул,Профсоюзная,Саратовская область Красноармейский г Красноармейск ул Профсоюзная
Саратовская область,Красноармейский,г,Красноармейск,ул,Пугачева,Саратовская область Красноармейский г Красноармейск ул Пугачева
Саратовская область,Красноармейский,г,Красноармейск,ул,Республиканская,Саратовская область Красноармейский г Красноармейск ул Республиканская
Саратовская область,Красноармейский,г,Красноармейск,ул,Смольянинова,Саратовская область Красноармейский г Красноармейск ул Смольянинова
Саратовская область,Красноармейский,г,Красноармейск,ул,Советская,Саратовская область Красноармейский г Красноармейск ул Советская
Саратовская область,Красноармейский,г,Красноармейск,ул,Строителей,Саратовская область Красноармейский г Красноармейск ул Строителей
Саратовская область,Красноармейский,с,Луганское,ул,Волжская,Саратовская область Красноармейский с Луганское ул Волжская
Саратовская область,Красноармейский,с,Луганское,ул,Мира,Саратовская область Красноармейский с Луганское ул Мира
Саратовская область,Красноармейский,с,Луганское,ул,Московская,Саратовская область Красноармейский с Луганское ул Московская
Саратовская область,Красноармейский,ст,Паницкая,ул,Зеленая,Саратовская область Красноармейский ст Паницкая ул Зеленая
Саратовская область,Красноармейский,ст,Паницкая,ул,Мира,Саратовская область Красноармейский ст Паницкая ул Мира
Саратовская область,Красноармейский,с,Садовое,ул,Жилой массив Отрадное,Саратовская область Красноармейский с Садовое ул Жилой массив Отрадное
Саратовская область,Красноармейский,с,Садовое,ул,Советская,Саратовская область Красноармейский с Садовое ул Советская
Саратовская область,Красноармейский,с,Усть-Золиха,ул,Заречная,Саратовская область Красноармейский с Усть-Золиха ул Заречная
Саратовская область,Гагаринский,г,Саратов,ул,Кавказская,Саратовская область NULL г Саратов ул Кавказская
Саратовская область,Гагаринский,г,Саратов,ул,Алексеевская,Саратовская область NULL г Саратов ул Алексеевская
Саратовская область,Гагаринский,г,Саратов,ул,Аллейная,Саратовская область NULL г Саратов ул Аллейная
Саратовская область,Гагаринский,г,Саратов,ул,Ароновой ,Саратовская область NULL г Саратов ул Ароновой 
Саратовская область,Гагаринский,г,Саратов,ул,Артиллерийская,Саратовская область NULL г Саратов ул Артиллерийская
Саратовская область,Гагаринский,г,Саратов,ул,Аткарская,Саратовская область NULL г Саратов ул Аткарская
Саратовская область,Гагаринский,г,Саратов,ул,Барнаульская,Саратовская область NULL г Саратов ул Барнаульская
Саратовская область,Гагаринский,г,Саратов,ул,Брянская,Саратовская область NULL г Саратов ул Брянская
Саратовская область,Гагаринский,г,Саратов,ул,Васильковская,Саратовская область NULL г Саратов ул Васильковская
Саратовская область,Гагаринский,г,Саратов,ул,Волгоградская,Саратовская область NULL г Саратов ул Волгоградская
Саратовская область,Гагаринский,г,Саратов,ул,Волгодонская,Саратовская область NULL г Саратов ул Волгодонская
Саратовская область,Гагаринский,г,Саратов,ул,Вологодская,Саратовская область NULL г Саратов ул Вологодская
Саратовская область,Гагаринский,г,Саратов,ул,Волочаевская,Саратовская область NULL г Саратов ул Волочаевская
Саратовская область,Гагаринский,г,Саратов,ул,Выселочная 3-я,Саратовская область NULL г Саратов ул Выселочная 3-я
Саратовская область,Гагаринский,г,Саратов,ул,Гранатная,Саратовская область NULL г Саратов ул Гранатная
Саратовская область,Гагаринский,г,Саратов,проезд,Гранатный,Саратовская область NULL г Саратов проезд Гранатный
Саратовская область,Гагаринский,г,Саратов,ул,Гуселка 1-я Семхоз,Саратовская область NULL г Саратов ул Гуселка 1-я Семхоз
Саратовская область,Гагаринский,г,Саратов,ул,Дачная,Саратовская область NULL г Саратов ул Дачная
Саратовская область,Гагаринский,г,Саратов,ул,Заречная,Саратовская область NULL г Саратов ул Заречная
Саратовская область,Гагаринский,г,Саратов,ул,Зеленая,Саратовская область NULL г Саратов ул Зеленая
Саратовская область,Гагаринский,г,Саратов,ул,Земляная 1-я,Саратовская область NULL г Саратов ул Земляная 1-я
Саратовская область,Гагаринский,г,Саратов,ул,Зенитная,Саратовская область NULL г Саратов ул Зенитная
Саратовская область,Гагаринский,г,Саратов,ул,им Бирюзова С.С.,Саратовская область NULL г Саратов ул им Бирюзова С.С.
Саратовская область,Гагаринский,г,Саратов,ул,Жуковского,Саратовская область NULL г Саратов ул Жуковского
Саратовская область,Гагаринский,г,Саратов,ул,им Люксембург Розы,Саратовская область NULL г Саратов ул им Люксембург Розы
Саратовская область,Гагаринский,г,Саратов,ул,Навашина ,Саратовская область NULL г Саратов ул Навашина 
Саратовская область,Гагаринский,г,Саратов,ул,им Осипова В.И.,Саратовская область NULL г Саратов ул им Осипова В.И.
Саратовская область,Гагаринский,г,Саратов,ул,С.Разина ,Саратовская область NULL г Саратов ул С.Разина 
Саратовская область,Гагаринский,г,Саратов,ул,Рахова ,Саратовская область NULL г Саратов ул Рахова 
Саратовская область,Гагаринский,г,Саратов,ул,им Усиевича Г.А.,Саратовская область NULL г Саратов ул им Усиевича Г.А.
Саратовская область,Гагаринский,г,Саратов,п,Калашниково,Саратовская область NULL г Саратов п Калашниково
Саратовская область,Гагаринский,г,Саратов,ул,Карьерная,Саратовская область NULL г Саратов ул Карьерная
Саратовская область,Гагаринский,г,Саратов,ул,Каспийская,Саратовская область NULL г Саратов ул Каспийская
Саратовская область,Гагаринский,г,Саратов,ул,Киселева,Саратовская область NULL г Саратов ул Киселева
Саратовская область,Гагаринский,г,Саратов,ул,Краевая,Саратовская область NULL г Саратов ул Краевая
Саратовская область,Гагаринский,г,Саратов,ул,Крайняя,Саратовская область NULL г Саратов ул Крайняя
Саратовская область,Гагаринский,г,Саратов,ул,Лесопильная,Саратовская область NULL г Саратов ул Лесопильная
Саратовская область,Гагаринский,г,Саратов,проезд,Лесопильный 5-й,Саратовская область NULL г Саратов проезд Лесопильный 5-й
Саратовская область,Гагаринский,г,Саратов,ул,Межовражная,Саратовская область NULL г Саратов ул Межовражная
Саратовская область,Гагаринский,г,Саратов,проезд,Мурманский,Саратовская область NULL г Саратов проезд Мурманский
Саратовская область,Гагаринский,г,Саратов,ш,Ново-Астраханское ,Саратовская область NULL г Саратов ш Ново-Астраханское 
Саратовская область,Гагаринский,г,Саратов,проезд,Ново-Крекингский,Саратовская область NULL г Саратов проезд Ново-Крекингский
Саратовская область,Гагаринский,г,Саратов,ул,Омская,Саратовская область NULL г Саратов ул Омская
Саратовская область,Гагаринский,г,Саратов,п,ОПХ Саратовское,Саратовская область NULL г Саратов п ОПХ Саратовское
Саратовская область,Гагаринский,г,Саратов,ул,Отрядная,Саратовская область NULL г Саратов ул Отрядная
Саратовская область,Гагаринский,г,Саратов,ул,Парковая,Саратовская область NULL г Саратов ул Парковая
Саратовская область,Гагаринский,г,Саратов,ул,Пензенская,Саратовская область NULL г Саратов ул Пензенская
Саратовская область,Гагаринский,г,Саратов,пер,Пензенский,Саратовская область NULL г Саратов пер Пензенский
Саратовская область,Гагаринский,г,Саратов,пер,Пичугинский,Саратовская область NULL г Саратов пер Пичугинский
Саратовская область,Гагаринский,г,Саратов,ул,Прессовая,Саратовская область NULL г Саратов ул Прессовая
Саратовская область,Гагаринский,г,Саратов,ул,Пристанская,Саратовская область NULL г Саратов ул Пристанская
Саратовская область,Гагаринский,г,Саратов,ул,Пролетарская,Саратовская область NULL г Саратов ул Пролетарская
Саратовская область,Гагаринский,г,Саратов,ул,Прудная,Саратовская область NULL г Саратов ул Прудная
Саратовская область,Гагаринский,г,Саратов,ул,Рябиновская,Саратовская область NULL г Саратов ул Рябиновская
Саратовская область,Гагаринский,г,Саратов,ул,Садовая 3-я,Саратовская область NULL г Саратов ул Садовая 3-я
Саратовская область,Гагаринский,г,Саратов,пер,Смурский,Саратовская область NULL г Саратов пер Смурский
Саратовская область,Гагаринский,г,Саратов,ул,Соколовая,Саратовская область NULL г Саратов ул Соколовая
Саратовская область,Гагаринский,г,Саратов,ул,Сосновская,Саратовская область NULL г Саратов ул Сосновская
Саратовская область,Гагаринский,г,Саратов,ул,СХИ Секция,Саратовская область NULL г Саратов ул СХИ Секция
Саратовская область,Гагаринский,г,Саратов,ул,Томская,Саратовская область NULL г Саратов ул Томская
Саратовская область,Гагаринский,г,Саратов,ул,Университетская,Саратовская область NULL г Саратов ул Университетская
Саратовская область,Гагаринский,г,Саратов,ул,Хвалынская,Саратовская область NULL г Саратов ул Хвалынская
Саратовская область,Гагаринский,г,Саратов,ул,Цветочная,Саратовская область NULL г Саратов ул Цветочная
Саратовская область,Гагаринский,г,Саратов,п,Экспериментальное х-во ,Саратовская область NULL г Саратов п Экспериментальное х-во 
Саратовская область,Гагаринский,г,Саратов,пл,им Орджоникидзе Г.К.,Саратовская область NULL г Саратов пл им Орджоникидзе Г.К.
Саратовская область,Энгельский,г,Энгельс,ул,148 Черниговской див,Саратовская область Энгельсский г Энгельс ул 148 Черниговской див
Саратовская область,Энгельский,г,Энгельс,мкр,2-й,Саратовская область Энгельсский г Энгельс мкр 2-й
Саратовская область,Энгельский,г,Энгельс,ул,Берег Волги,Саратовская область Энгельсский г Энгельс ул Берег Волги
Саратовская область,Энгельский,г,Энгельс,ул,Будочная,Саратовская область Энгельсский г Энгельс ул Будочная
Саратовская область,Энгельский,г,Энгельс,ул,Вокзальная,Саратовская область Энгельсский г Энгельс ул Вокзальная
Саратовская область,Энгельский,г,Энгельс,пер,Волгоградский,Саратовская область Энгельсский г Энгельс пер Волгоградский
Саратовская область,Энгельский,г,Энгельс,пр-кт,Волжский,Саратовская область Энгельсский г Энгельс пр-кт Волжский
Саратовская область,Энгельский,г,Энгельс,ул,Волоха,Саратовская область Энгельсский г Энгельс ул Волоха
Саратовская область,Энгельский,г,Энгельс,пер,Восточный,Саратовская область Энгельсский г Энгельс пер Восточный
Саратовская область,Энгельский,г,Энгельс,пер,Зеленый,Саратовская область Энгельсский г Энгельс пер Зеленый
Саратовская область,Энгельский,г,Энгельс,наб,генерал-лейтенанта Рудченко,Саратовская область Энгельсский г Энгельс наб генерал-лейтенанта Рудченко
Саратовская область,Энгельский,г,Энгельс,ул,Космонавтов,Саратовская область Энгельсский г Энгельс ул Космонавтов
Саратовская область,Энгельский,г,Энгельс,пл,Ленина,Саратовская область Энгельсский г Энгельс пл Ленина
Саратовская область,Энгельский,г,Энгельс,ул,Полтавская,Саратовская область Энгельсский г Энгельс ул Полтавская
Саратовская область,Энгельский,г,Энгельс,ул,Пушкина,Саратовская область Энгельсский г Энгельс ул Пушкина
Саратовская область,Энгельский,г,Энгельс,ул,Рабочая,Саратовская область Энгельсский г Энгельс ул Рабочая
Саратовская область,Энгельский,г,Энгельс,ул,Ровенская,Саратовская область Энгельсский г Энгельс ул Ровенская
Саратовская область,Энгельский,г,Энгельс,ул,Российская,Саратовская область Энгельсский г Энгельс ул Российская
Саратовская область,Энгельский,г,Энгельс,ул,Самарская,Саратовская область Энгельсский г Энгельс ул Самарская
Саратовская область,Энгельский,г,Энгельс,ул,Санаторная,Саратовская область Энгельсский г Энгельс ул Санаторная
Саратовская область,Энгельский,г,Энгельс,пл,Свободы,Саратовская область Энгельсский г Энгельс пл Свободы
Саратовская область,Энгельский,г,Энгельс,ул,Смоленская,Саратовская область Энгельсский г Энгельс ул Смоленская
Саратовская область,Энгельский,г,Энгельс,ул,Советская 2-я,Саратовская область Энгельсский г Энгельс ул Советская 2-я
Саратовская область,Энгельский,г,Энгельс,пр-кт,Строителей,Саратовская область Энгельсский г Энгельс пр-кт Строителей
Саратовская область,Энгельский,г,Энгельс,проезд,Студенческий 5-й,Саратовская область Энгельсский г Энгельс проезд Студенческий 5-й
Саратовская область,Энгельский,г,Энгельс,ул,Тельмана,Саратовская область Энгельсский г Энгельс ул Тельмана
Саратовская область,Энгельский,г,Энгельс,ул,Томская,Саратовская область Энгельсский г Энгельс ул Томская
Саратовская область,Энгельский,г,Энгельс,ул,Тракторная,Саратовская область Энгельсский г Энгельс ул Тракторная
